OriginAirportCode,Month,DayofMonth,CRSDepHour,DayOfWeek,Carrier,DestAirportCode,WindSpeed,SeaLevelPressure,HourlyPrecip
IND,7,22,15,1,FL,TPA,6,29,0
EWR,7,5,10,5,US,CLT,8,30,0
LAX,7,12,16,5,AA,JFK,17,29,0
MKE,7,23,8,2,WN,LGA,8,29,0
BOS,7,16,7,2,B6,AUS,8,30,0
MCO,7,1,13,1,FL,STL,11,29,0
MKE,7,2,18,2,F9,DEN,7,30,0
PDX,7,23,13,2,B6,LGB,11,29,0
SAN,7,23,19,2,OO,LAX,8,29,0
RIC,7,26,7,5,MQ,MIA,3,30,0
RIC,7,13,16,6,DL,ATL,17,29,0
STL,7,10,13,3,DL,ATL,11,29,0
IAH,7,13,17,6,UA,DEN,7,29,0
LAX,7,26,22,5,UA,BOS,9,29,0
LGA,7,23,6,2,US,PHL,7,29,0
MDW,7,30,13,2,WN,BWI,10,30,0
DTW,7,9,14,2,FL,MCO,11,29,0
SAN,7,11,20,4,WN,PHX,5,29,0
CLT,7,16,18,2,US,BOS,3,30,0
IND,7,21,7,7,FL,RSW,6,29,0
LAX,7,21,20,7,MQ,IAH,3,29,0
ATL,7,10,17,3,DL,MCI,8,29,0
LAX,7,9,22,2,UA,BOS,5,29,0
CLT,7,7,5,7,YV,IAD,6,30,0
LAX,7,2,18,2,OO,PHX,10,29,0
ATL,7,2,9,2,DL,IND,11,30,0
ATL,7,3,10,3,FL,LAX,9,29,0
CLT,7,18,16,4,US,BWI,5,30,0
MSP,7,10,19,3,OO,BNA,6,30,0
SAN,7,13,10,6,OO,SFO,9,29,0
STL,7,28,6,7,DL,MSP,3,30,0
PHX,7,21,18,7,OO,DEN,3,29,0
HOU,7,27,16,6,WN,MDW,9,29,0
BNA,7,7,7,7,WN,LGA,5,29,0
ATL,7,16,9,2,DL,BDL,8,30,0
ANC,7,31,14,3,UA,SFO,6,30,0
MKE,7,9,13,2,FL,ATL,0,29,0
EWR,7,7,13,7,EV,MSP,13,29,0
ORD,7,16,8,2,AA,PHX,6,30,0
PHL,7,14,11,7,DL,ATL,7,30,0
ATL,7,3,21,3,DL,RSW,11,29,0
FLL,7,9,6,2,B6,SJU,3,30,0
SFO,7,15,20,1,UA,LAX,11,29,0
CLE,7,1,13,1,MQ,ORD,13,29,0
MIA,7,26,13,5,AA,MCO,10,30,0
MSP,7,28,10,7,DL,DCA,11,29,0
PBI,7,28,10,7,B6,BDL,5,29,0
EWR,7,25,8,4,EV,MEM,15,30,0
HNL,7,12,18,5,HA,OGG,16,30,0
PVD,7,13,17,6,B6,FLL,0,29,0
RNO,7,8,10,1,OO,SFO,0,29,0
OKC,7,10,6,3,OO,DEN,6,29,0
PHX,7,3,15,3,WN,SAN,5,29,0
CMH,7,27,17,6,FL,MCO,11,29,0
LAX,7,15,6,1,WN,SMF,0,29,0
MSY,7,29,6,1,WN,DEN,3,30,0
MCO,7,27,5,6,US,CLT,0,29,0
ORD,7,5,13,5,AA,PHL,6,30,0
CLT,7,21,22,7,US,IAH,5,29,0
ATL,7,24,12,3,AA,DFW,7,29,0
BOS,7,27,16,6,AA,DFW,10,30,0
JFK,7,30,6,2,B6,MCO,5,30,0
ATL,7,9,15,2,FL,BUF,11,30,0
MDW,7,28,8,7,WN,SEA,13,29,0
DTW,7,7,9,7,EV,IAD,9,29,0
MCO,7,29,14,1,AA,DFW,0,30,0
LAX,7,8,9,1,DL,BOS,9,29,0
MSP,7,15,9,1,DL,ANC,7,30,0
IAH,7,30,19,2,UA,LAX,15,30,0
ORD,7,12,8,5,EV,OMA,0,30,0
BWI,7,12,18,5,WN,PHX,6,29,0
PHX,7,20,7,6,DL,MSP,8,29,0
BNA,7,31,7,3,WN,JAX,7,30,0
MIA,7,3,11,3,AA,LAS,21,30,0
MEM,7,8,14,1,9E,OMA,5,30,0
SFO,7,3,11,3,B6,JFK,6,29,0
ATL,7,16,21,2,FL,DEN,5,30,0
ATL,7,8,8,1,DL,BWI,0,30,0
TPA,7,13,12,6,EV,RDU,11,29,0
DTW,7,28,17,7,DL,LGA,15,29,0
LAS,7,31,7,3,AS,SEA,3,29,0
JAX,7,2,11,2,AA,DFW,13,30,0
SFO,7,26,10,5,OO,MCI,10,30,0
EWR,7,2,7,2,UA,MCO,7,29,0
MIA,7,25,17,4,AA,IAH,9,30,0
EWR,7,14,10,7,MQ,ORD,7,30,0
ORD,7,13,7,6,EV,CLE,3,30,0
PHX,7,12,22,5,US,SEA,9,29,0
MSP,7,18,8,4,AA,DFW,11,30,0
JFK,7,1,18,1,US,CLT,14,29,0
PHX,7,7,5,7,UA,IAH,3,29,0
FLL,7,22,7,1,WN,TPA,7,30,0
JFK,7,7,14,7,9E,CLE,15,29,0
ORD,7,29,18,1,AA,DFW,9,30,0
SFO,7,1,13,1,UA,LAS,21,29,0
SNA,7,14,15,7,F9,DEN,9,29,0
BWI,7,13,20,6,WN,RDU,0,29,0
OAK,7,20,19,6,WN,LAX,14,29,0
SNA,7,9,6,2,DL,ATL,0,29,0
SEA,7,19,17,5,OO,PDX,8,30,0
SAT,7,16,14,2,YV,PHX,11,30,0
DTW,7,27,10,6,DL,PBI,10,29,0
DTW,7,28,7,7,9E,ORF,13,29,0
MCO,7,15,13,1,B6,SJU,10,29,0
IND,7,7,13,7,9E,DTW,5,30,0
BWI,7,26,8,5,WN,SDF,0,30,0
SEA,7,26,20,5,WN,SLC,16,30,0
SEA,7,7,9,7,AS,LAS,8,29,0
SEA,7,15,10,1,AS,OAK,11,30,0
MCO,7,12,17,5,WN,BWI,3,29,0
SFO,7,18,15,4,UA,AUS,23,29,0
CMH,7,3,6,3,AA,DFW,5,30,0
ATL,7,17,10,3,DL,BUF,6,30,0
PHL,7,22,9,1,US,BOS,7,29,0
JFK,7,23,8,2,DL,ATL,15,29,0
MIA,7,21,11,7,AA,LAX,7,30,0
IAD,7,9,15,2,WN,MDW,6,30,0
CLT,7,26,14,5,YV,CMH,7,30,0
PHL,7,23,16,2,US,BOS,21,29,0
AUS,7,8,5,1,EV,IAH,5,29,0
AUS,7,29,7,1,AA,LAX,9,29,0
BDL,7,19,15,5,DL,ATL,13,29,0
ATL,7,18,12,4,DL,FLL,6,30,0
HOU,7,25,16,4,MQ,DFW,5,29,0
AUS,7,7,17,7,AA,DFW,26,29,0
ATL,7,11,10,4,DL,MKE,0,29,0
RNO,7,17,16,3,WN,SEA,11,29,0
MSP,7,24,7,3,9E,SDF,0,30,0
PHX,7,8,23,1,US,TPA,10,29,0
BNA,7,16,6,2,AA,DFW,0,30,0
FLL,7,26,17,5,UA,DEN,11,29,0
MCO,7,27,19,6,B6,BUF,6,29,0
IAD,7,4,22,4,EV,CLE,5,30,0
OAK,7,16,9,2,WN,LAS,11,29,0
PHL,7,28,8,7,DL,MSP,6,29,0
PBI,7,2,7,2,DL,ATL,13,30,0
ATL,7,7,23,7,DL,TPA,3,29,0
DCA,7,15,8,1,US,PBI,3,30,0
MCO,7,24,14,3,US,DCA,7,29,0
ATL,7,26,8,5,FL,DTW,6,29,0
ATL,7,14,23,7,DL,BNA,13,29,0
DTW,7,21,8,7,EV,SAT,7,30,0
EWR,7,17,19,3,UA,PDX,5,30,0
ORD,7,3,7,3,EV,IND,8,29,0
MCO,7,17,14,3,WN,CMH,14,30,0
MSY,7,11,15,4,EV,EWR,17,29,0
DCA,7,19,7,5,UA,IAH,7,30,0
TPA,7,5,17,5,AA,MIA,0,30,0
LAX,7,19,13,5,UA,DEN,10,29,0
IAH,7,25,21,4,EV,DFW,9,30,0
EWR,7,3,7,3,EV,CMH,5,30,0
SJC,7,27,9,6,VX,LAX,5,29,0
ATL,7,17,19,3,DL,IAH,6,29,0
PHL,7,6,15,6,US,CLT,9,30,0
SEA,7,22,20,1,AS,ANC,6,30,0
BNA,7,7,9,7,AA,DFW,0,30,0
MDW,7,3,8,3,WN,AUS,3,30,0
ORD,7,26,15,5,MQ,IND,13,29,0
LAX,7,24,12,3,UA,ORD,14,29,0
SAN,7,31,14,3,WN,TUS,13,30,0
TPA,7,12,19,5,US,PHL,7,29,0
SFO,7,24,11,3,DL,DTW,15,29,0
RDU,7,12,20,5,B6,BOS,5,29,0
SFO,7,6,10,6,UA,LAX,7,29,0
TPA,7,28,16,7,AA,DFW,3,30,0
OMA,7,8,12,1,OO,MSP,9,29,0
SLC,7,1,11,1,DL,RNO,7,29,0
OAK,7,5,19,5,US,PHX,7,29,0
LGA,7,9,8,2,FL,ATL,0,30,0
ORD,7,22,9,1,MQ,MCI,7,29,0
ATL,7,30,17,2,DL,FLL,5,30,0
HOU,7,9,14,2,MQ,DFW,9,30,0
ANC,7,21,20,7,DL,ATL,11,29,0
ATL,7,18,22,4,DL,MIA,0,30,0
SEA,7,24,16,3,AS,OAK,8,30,0
ATL,7,28,10,7,DL,EWR,5,29,0
CLE,7,1,17,1,MQ,MIA,16,29,0
ABQ,7,20,6,6,DL,MSP,6,29,0
AUS,7,21,20,7,WN,LAS,7,29,0
MSY,7,16,16,2,US,CLT,10,30,0
IAH,7,18,21,4,UA,LAS,8,30,0
BWI,7,4,10,4,WN,ORF,11,30,0
MSP,7,2,13,2,DL,MKE,10,30,0
CLT,7,2,12,2,DL,ATL,10,30,0
ORD,7,16,6,2,MQ,CLT,3,30,0
BWI,7,25,19,4,WN,BOS,9,30,0
BDL,7,12,8,5,US,CLT,10,30,0
MDW,7,18,20,4,WN,PHL,8,29,0
FLL,7,23,11,2,US,PHL,11,30,0
SLC,7,25,8,4,OO,SNA,8,29,0
SAN,7,25,20,4,AS,SEA,6,30,0
LGB,7,18,15,4,B6,OAK,8,29,0
PHX,7,15,13,1,US,OGG,5,29,0
LAS,7,28,13,7,DL,SLC,22,29,0
JAX,7,23,5,2,YV,ORD,7,30,0
SAN,7,20,11,6,UA,IAH,6,29,0
SJU,7,8,17,1,WN,BWI,20,30,0
ORD,7,2,21,2,MQ,CLT,10,29,0
SFO,7,16,17,2,UA,ANC,15,29,0
PBI,7,20,18,6,UA,EWR,10,29,0
MEM,7,19,14,5,9E,OMA,6,29,0
CLT,7,28,22,7,US,IAH,0,29,0
SLC,7,7,18,7,B6,LGB,14,29,0
DTW,7,26,19,5,9E,BUF,7,29,0
MSP,7,23,18,2,DL,ATL,7,29,0
ATL,7,22,14,1,DL,JAX,7,29,0
SJU,7,5,11,5,AA,DFW,13,30,0
PHL,7,10,14,3,US,LAX,10,29,0
ATL,7,7,9,7,DL,ORD,5,30,0
MCO,7,5,9,5,UA,IAD,14,30,0
ATL,7,16,10,2,DL,AUS,13,29,0
CMH,7,3,10,3,MQ,ORD,6,30,0
MIA,7,18,16,4,AA,MCO,14,30,0
ORD,7,8,11,1,UA,IAH,9,29,0
MIA,7,27,9,6,AA,PHL,5,30,0
PHL,7,12,16,5,US,SFO,11,29,0
CLT,7,5,18,5,US,MSY,0,30,0
MEM,7,7,15,7,EV,IAH,8,30,0
IAH,7,3,6,3,MQ,ORD,0,29,0
MSP,7,28,15,7,9E,ORD,13,29,0
TPA,7,28,20,7,FL,ATL,0,30,0
PHX,7,13,9,6,WN,DTW,6,29,0
EWR,7,30,20,2,UA,TPA,7,30,0
CMH,7,4,8,4,MQ,ORD,9,30,0
EWR,7,16,11,2,EV,JAX,14,30,0
MKE,7,19,8,5,OO,DEN,17,29,0
ANC,7,21,11,7,AS,SEA,7,30,0
PDX,7,29,17,1,WN,LAS,8,29,0
HNL,7,21,21,7,UA,SFO,6,30,0
ATL,7,23,11,2,DL,RDU,8,29,0
ORD,7,17,10,3,EV,PIT,6,30,0
MSP,7,16,9,2,9E,SAT,8,30,0
ORD,7,13,8,6,UA,SAN,13,30,0
ATL,7,16,8,2,FL,SAT,7,29,0
FLL,7,23,15,2,B6,BOS,7,30,0
ATL,7,26,14,5,DL,LGA,9,30,0
SEA,7,8,20,1,WN,SLC,5,30,0
SFO,7,19,14,5,WN,LAX,22,29,0
IAD,7,24,15,3,UA,DEN,9,29,0
ORD,7,21,9,7,YV,BUF,7,29,0
LGA,7,28,6,7,DL,MSP,7,29,0
LAX,7,10,8,3,UA,HNL,0,29,0
HNL,7,18,13,4,HA,OAK,20,30,0
ATL,7,30,19,2,DL,OMA,6,30,0
JAX,7,17,14,3,9E,JFK,13,30,0
LAX,7,6,10,6,OO,SMF,0,29,0
ATL,7,22,19,1,DL,PIT,10,29,0
LAX,7,11,13,4,UA,ORD,7,29,0
MCO,7,1,10,1,UA,DEN,15,29,0
SAT,7,24,10,3,WN,SAN,7,29,0
STL,7,17,13,3,DL,ATL,6,30,0
SFO,7,6,9,6,UA,LAX,7,29,0
LGA,7,21,18,7,US,DCA,8,29,0
LAX,7,10,13,3,UA,ORD,7,29,0
OAK,7,1,17,1,OO,LAX,20,29,0
LAX,7,9,6,2,DL,JFK,3,29,0
JFK,7,28,13,7,DL,ATL,13,29,0
ATL,7,7,17,7,US,PHX,3,30,0
ORD,7,22,21,1,EV,BWI,6,29,0
SFO,7,28,11,7,OO,SLC,15,29,0
BUR,7,8,15,1,WN,LAS,7,29,0
SJC,7,1,18,1,WN,LAX,9,29,0
ATL,7,19,18,5,AA,DFW,5,29,0
LAS,7,27,15,6,DL,MSP,15,29,0
LAX,7,16,13,2,AS,SEA,14,29,0
IAD,7,11,8,4,EV,DTW,3,29,0
RDU,7,12,8,5,DL,MSP,0,29,0
LAS,7,18,17,4,UA,CLE,7,29,0
IAH,7,10,15,3,UA,LGA,10,30,0
LGA,7,15,16,1,AA,MIA,17,30,0
OKC,7,2,14,2,EV,IAH,6,30,0
BNA,7,22,6,1,OO,MEM,13,29,0
MSP,7,15,19,1,AS,SEA,5,30,0
MIA,7,31,9,3,MQ,JAX,10,30,0
SFO,7,10,8,3,WN,PHX,7,29,0
PHX,7,26,12,5,OO,DEN,5,29,0
BWI,7,11,8,4,WN,SJU,6,29,0
DTW,7,15,10,1,9E,IAD,0,30,0
AUS,7,6,15,6,AA,DFW,13,29,0
SAN,7,20,19,6,AS,OGG,7,29,0
EWR,7,20,6,6,UA,LAS,16,29,0
LAX,7,3,23,3,UA,EWR,7,29,0
PBI,7,2,6,2,B6,JFK,15,30,0
SDF,7,30,9,2,WN,STL,3,30,0
SDF,7,17,7,3,DL,ATL,0,30,0
ATL,7,2,9,2,DL,TPA,11,29,0
SJC,7,13,6,6,AA,DFW,5,29,0
CLT,7,8,7,1,US,PIT,3,29,0
LAX,7,23,20,2,VX,SFO,13,29,0
SFO,7,14,6,7,DL,SLC,11,29,0
CLT,7,20,5,6,EV,IAH,7,29,0
BOS,7,9,20,2,B6,MCO,5,30,0
LAX,7,5,19,5,OO,TUS,10,29,0
ORD,7,12,10,5,EV,PIT,5,30,0
EWR,7,16,19,2,UA,LAX,11,30,0
BNA,7,22,17,1,MQ,ORD,6,29,0
BOS,7,14,8,7,US,CLT,6,30,0
MSY,7,6,6,6,US,PHL,0,29,0
PBI,7,6,17,6,WN,BWI,14,30,0
ORD,7,14,20,7,MQ,RIC,6,30,0
BDL,7,14,6,7,WN,TPA,0,29,0
ORD,7,23,11,2,9E,JFK,8,29,0
ORD,7,17,10,3,MQ,ABQ,6,30,0
MKE,7,17,19,3,MQ,ORD,9,30,0
ORD,7,8,16,1,AA,AUS,13,29,0
CLT,7,18,13,4,US,ATL,6,30,0
SJU,7,8,15,1,B6,JFK,22,30,0
EWR,7,8,21,1,UA,MCO,11,30,0
SAN,7,30,8,2,AS,SEA,0,30,0
IAH,7,20,15,6,OO,DFW,9,29,0
MKE,7,7,8,7,OO,CVG,9,29,0
OAK,7,28,9,7,WN,PHX,3,29,0
STL,7,22,6,1,AA,DFW,0,29,0
IAH,7,22,21,1,UA,AUS,7,29,0
SJC,7,18,8,4,AS,HNL,0,29,0
SAN,7,7,6,7,WN,LAS,5,29,0
IAH,7,20,17,6,OO,OKC,0,29,0
MIA,7,8,16,1,AA,SFO,15,30,0
IAD,7,10,12,3,YV,AUS,5,29,0
OAK,7,31,12,3,WN,LAX,11,30,0
STL,7,19,7,5,FL,ATL,7,29,0
BDL,7,28,11,7,9E,MSP,0,29,0
DTW,7,1,14,1,9E,RIC,6,30,0
IND,7,1,13,1,9E,DTW,10,29,0
LAX,7,24,6,3,DL,MSP,6,29,0
BOS,7,17,15,3,B6,PIT,9,30,0
RNO,7,30,21,2,WN,LAS,14,30,0
CLT,7,7,16,7,US,MIA,10,30,0
LAX,7,5,14,5,AA,IAD,9,29,0
CLT,7,15,9,1,US,PHX,3,30,0
SJC,7,23,16,2,WN,PHX,11,29,0
BWI,7,5,6,5,AA,MIA,5,30,0
DTW,7,8,15,1,MQ,LGA,11,29,0
DTW,7,1,14,1,EV,PIT,6,30,0
AUS,7,10,5,3,WN,MDW,0,29,0
ATL,7,12,21,5,DL,SFO,5,29,0
ORD,7,16,12,2,MQ,BDL,8,30,0
LGA,7,14,17,7,B6,MCO,15,30,0
CLT,7,27,11,6,YV,STL,6,29,0
ATL,7,22,20,1,DL,MSY,16,29,0
RIC,7,5,17,5,DL,ATL,9,30,0
LGA,7,29,20,1,US,BOS,11,30,0
RIC,7,3,6,3,EV,EWR,7,29,0
BNA,7,22,11,1,MQ,ORD,5,29,0
CLT,7,8,9,1,US,SFO,0,30,0
PDX,7,19,23,5,UA,ORD,10,30,0
MCO,7,22,7,1,UA,EWR,5,30,0
PDX,7,8,7,1,WN,SJC,6,30,0
LAS,7,28,13,7,DL,MEM,26,29,0
FLL,7,13,19,6,B6,JFK,5,29,0
LAS,7,11,22,4,WN,ABQ,0,29,0
SAN,7,31,12,3,WN,PHX,14,30,0
OKC,7,23,7,2,9E,MSP,11,29,0
SFO,7,19,16,5,UA,JFK,23,29,0
RDU,7,1,15,1,MQ,LGA,6,29,0
JFK,7,28,8,7,9E,MSY,8,30,0
AUS,7,1,15,1,WN,PDX,15,29,0
ORD,7,1,17,1,MQ,OMA,16,30,0
FLL,7,1,8,1,AA,LAX,13,29,0
DCA,7,15,12,1,MQ,BNA,5,30,0
TPA,7,16,10,2,WN,BDL,9,30,0
CLT,7,2,20,2,US,STL,10,29,0
OGG,7,4,22,4,HA,LAX,7,30,0
ORD,7,17,10,3,AA,SFO,6,30,0
SAT,7,15,15,1,WN,MCO,9,29,0
SLC,7,27,20,6,DL,SAT,5,29,0
ORD,7,7,16,7,MQ,CMH,10,29,0
CLE,7,23,15,2,EV,RIC,3,29,0
AUS,7,21,8,7,B6,SFO,7,29,0
CLE,7,16,16,2,DL,ATL,0,30,0
AUS,7,24,18,3,WN,BNA,0,29,0
ATL,7,10,7,3,DL,BDL,3,30,0
CLT,7,2,20,2,US,EWR,10,30,0
IAH,7,23,17,2,EV,CLT,9,29,0
BWI,7,17,17,3,WN,OKC,5,30,0
MCO,7,3,17,3,WN,SDF,6,30,0
STL,7,17,8,3,AA,DFW,0,30,0
CLT,7,26,18,5,US,SEA,6,30,0
SFO,7,5,15,5,UA,LAX,21,29,0
PIT,7,9,6,2,MQ,MIA,5,29,0
MSY,7,3,18,3,AA,MIA,8,29,0
LAX,7,4,8,4,WN,RNO,0,29,0
LAX,7,8,9,1,DL,DTW,9,29,0
BNA,7,22,7,1,WN,FLL,9,29,0
JFK,7,25,8,4,B6,HOU,11,29,0
DCA,7,17,10,3,MQ,JFK,6,30,0
LAX,7,26,16,5,AA,ORD,11,30,0
EWR,7,4,7,4,B6,SJU,10,29,0
BDL,7,23,6,2,AA,MIA,3,29,0
BNA,7,23,18,2,WN,MDW,5,29,0
MEM,7,7,13,7,DL,ATL,6,29,0
LAX,7,28,9,7,VX,SFO,6,29,0
FLL,7,3,8,3,FL,BWI,13,30,0
CLE,7,5,18,5,UA,IAH,7,30,0
SEA,7,2,19,2,AS,LAX,6,30,0
DCA,7,20,16,6,MQ,BNA,15,29,0
PBI,7,27,6,6,US,CLT,0,29,0
CLE,7,4,8,4,UA,TPA,7,30,0
DAL,7,29,6,1,WN,HOU,11,29,0
SAN,7,18,6,4,DL,MSP,6,29,0
SJU,7,19,14,5,US,PHL,20,30,0
TPA,7,20,11,6,WN,SDF,0,30,0
SFO,7,14,10,7,AS,SEA,15,30,0
ATL,7,7,11,7,DL,RDU,0,30,0
ATL,7,9,8,2,DL,JAX,3,29,0
LGA,7,1,15,1,AA,DFW,11,29,0
MKE,7,20,7,6,WN,MCO,0,29,0
CLT,7,1,7,1,US,MSY,0,29,0
CLT,7,11,11,4,US,MCO,6,29,0
PDX,7,30,11,2,WN,LAS,6,30,0
MIA,7,2,19,2,DL,ATL,6,30,0
BOS,7,9,6,2,9E,JFK,3,30,0
LAX,7,24,19,3,WN,SJC,11,29,0
MCO,7,14,19,7,WN,HOU,9,29,0
SEA,7,29,9,1,DL,DTW,0,30,0
ORF,7,17,6,3,WN,BNA,3,30,0
PBI,7,17,15,3,US,PHL,9,29,0
ATL,7,14,7,7,DL,LGA,9,30,0
ANC,7,21,1,7,DL,SLC,6,30,0
LAS,7,13,11,6,US,PHX,6,29,0
PHX,7,12,9,5,US,LAS,7,29,0
RDU,7,14,11,7,DL,ATL,9,29,0
MKE,7,18,9,4,DL,DTW,7,30,0
RNO,7,7,13,7,UA,DEN,9,29,0
SJC,7,12,8,5,HA,OGG,0,29,0
PDX,7,22,21,1,B6,JFK,3,29,0
PHL,7,29,18,1,UA,SFO,14,30,0
CLT,7,21,19,7,MQ,MIA,0,29,0
IAH,7,27,17,6,UA,MSY,13,29,0
MEM,7,5,9,5,MQ,ORD,7,30,0
MCO,7,1,18,1,FL,PHL,8,30,0
LGA,7,3,18,3,MQ,MSP,8,30,0
IAD,7,21,22,7,EV,BUF,3,29,0
ATL,7,9,11,2,YV,ORD,6,29,0
MCO,7,14,16,7,UA,EWR,16,29,0
BWI,7,27,15,6,WN,MSY,13,29,0
SEA,7,6,7,6,OO,LGB,3,30,0
MCO,7,14,10,7,US,PHL,6,30,0
ATL,7,5,12,5,DL,BWI,8,30,0
BWI,7,15,22,1,WN,BDL,5,30,0
ATL,7,27,19,6,DL,FLL,6,29,0
ATL,7,31,10,3,DL,DCA,7,30,0
RSW,7,20,10,6,FL,PHL,8,30,0
SEA,7,15,17,1,OO,LGB,13,29,0
ORD,7,19,5,5,UA,IAH,10,29,0
CLT,7,25,19,4,EV,LGA,8,29,0
LGA,7,12,6,5,WN,MKE,7,29,0
RDU,7,19,7,5,US,CLT,10,30,0
SEA,7,1,23,1,B6,BOS,5,30,0
ATL,7,3,11,3,FL,RSW,10,29,0
LAX,7,14,11,7,DL,DTW,10,29,0
SNA,7,21,13,7,WN,PHX,8,29,0
HNL,7,26,21,5,DL,LAX,7,30,0
MSY,7,31,7,3,UA,IAH,5,30,0
MCO,7,21,17,7,VX,LAX,21,29,0
HNL,7,21,13,7,HA,OGG,17,29,0
SNA,7,20,18,6,FL,SFO,7,29,0
LAX,7,8,10,1,WN,DEN,8,29,0
PHL,7,31,13,3,US,CLT,3,30,0
BDL,7,29,16,1,WN,MCO,15,29,0
JFK,7,20,7,6,B6,SJU,16,29,0
STL,7,3,20,3,WN,DAL,8,30,0
BWI,7,1,13,1,B6,BOS,5,29,0
SMF,7,28,9,7,WN,LAS,6,29,0
SMF,7,3,5,3,UA,DEN,0,29,0
BNA,7,15,14,1,WN,BWI,9,30,0
FLL,7,26,18,5,WN,BWI,15,29,0
PIT,7,13,17,6,AA,DFW,6,30,0
CLE,7,9,18,2,EV,SDF,17,29,0
ATL,7,4,22,4,FL,MDW,6,29,0
SEA,7,31,9,3,AS,SFO,3,29,0
IAH,7,25,11,4,OO,PHX,3,30,0
ATL,7,31,23,3,DL,CLT,7,29,0
CLT,7,18,11,4,US,FLL,5,30,0
LAS,7,1,15,1,AS,PDX,3,29,0
CMH,7,13,18,6,MQ,ORD,11,30,0
PHX,7,19,8,5,US,JFK,8,29,0
SAN,7,16,11,2,WN,SJC,10,29,0
RDU,7,9,18,2,EV,IAH,7,30,0
SFO,7,6,7,6,WN,LAX,3,29,0
ATL,7,19,16,5,DL,DFW,5,30,0
AUS,7,21,14,7,WN,LAS,13,29,0
PHL,7,16,20,2,US,PVD,6,30,0
SMF,7,17,9,3,OO,DEN,3,30,0
CLE,7,13,8,6,EV,MKE,7,30,0
RSW,7,30,17,2,US,CLT,7,30,0
HNL,7,14,19,7,UA,IAH,15,29,0
LGA,7,28,9,7,DL,MIA,8,29,0
CMH,7,24,8,3,MQ,ORD,9,29,0
JFK,7,26,21,5,B6,DEN,14,30,0
PHL,7,29,7,1,US,LAS,7,30,0
BWI,7,3,15,3,WN,CLE,9,30,0
LGA,7,9,6,2,EV,IAD,6,30,0
LAX,7,14,15,7,WN,OAK,14,29,0
IAH,7,3,18,3,UA,ORD,11,29,0
MSP,7,28,9,7,DL,SEA,11,30,0
TPA,7,16,15,2,WN,SAT,17,29,0
PVD,7,3,20,3,WN,BWI,10,30,0
IAH,7,31,8,3,UA,LAX,9,30,0
PHL,7,9,5,2,MQ,ORD,6,29,0
STL,7,25,5,4,WN,MDW,0,30,0
IAD,7,15,8,1,YV,ATL,0,30,0
ATL,7,5,8,5,FL,IND,7,30,0
LAX,7,8,22,1,UA,BOS,0,29,0
LGA,7,26,19,5,UA,IAH,8,29,0
BDL,7,20,6,6,AA,MIA,6,29,0
SMF,7,19,7,5,DL,MSP,0,29,0
IND,7,29,20,1,EV,EWR,5,30,0
SJU,7,9,11,2,B6,FLL,20,30,0
JFK,7,6,14,6,UA,LAX,14,30,0
LAX,7,24,22,3,AA,BNA,8,29,0
EWR,7,17,6,3,EV,CVG,5,30,0
SFO,7,15,16,1,AS,PDX,16,29,0
EWR,7,13,19,6,UA,DFW,3,30,0
SFO,7,14,13,7,UA,PHL,22,29,0
ATL,7,12,9,5,WN,AUS,3,29,0
ATL,7,16,10,2,DL,OKC,11,30,0
MSP,7,22,6,1,WN,STL,9,29,0
ATL,7,10,12,3,DL,CLT,10,30,0
SFO,7,29,6,1,WN,LAX,5,29,0
BOS,7,21,15,7,AA,ORD,13,29,0
LAX,7,24,6,3,WN,MDW,6,29,0
DTW,7,26,12,5,DL,PHX,9,30,0
CLT,7,28,16,7,YV,AUS,8,29,0
LAX,7,4,8,4,WN,MDW,0,29,0
EWR,7,12,15,5,US,CLT,14,30,0
IAD,7,19,12,5,UA,IAH,0,29,0
SFO,7,28,15,7,OO,SEA,14,29,0
ATL,7,2,8,2,DL,DTW,9,29,0
MIA,7,2,12,2,UA,EWR,8,30,0
BNA,7,10,9,3,WN,SAT,7,30,0
SJU,7,5,21,5,B6,MCO,14,30,0
SJC,7,10,8,3,WN,PDX,0,29,0
SJC,7,16,10,2,WN,LAX,0,29,0
ATL,7,14,16,7,WN,ORF,14,30,0
OMA,7,26,12,5,WN,LAS,20,30,0
MSP,7,6,10,6,9E,MDW,6,29,0
FLL,7,5,10,5,WN,TPA,20,30,0
EWR,7,25,13,4,UA,ORD,8,30,0
LGA,7,1,10,1,UA,IAH,16,29,0
SEA,7,26,9,5,WN,SJC,6,30,0
SAT,7,20,7,6,MQ,ORD,7,29,0
BOS,7,28,14,7,US,DCA,11,29,0
PHL,7,2,20,2,B6,BOS,6,30,0
LAS,7,13,11,6,F9,DEN,6,29,0
CMH,7,17,15,3,WN,BWI,7,30,0
LAX,7,7,19,7,AS,ANC,9,29,0
MIA,7,9,14,2,AA,MCO,6,30,0
CLT,7,11,12,4,EV,ORD,0,29,0
EWR,7,29,16,1,US,PHX,17,30,0
ORD,7,31,6,3,UA,TPA,0,29,0
IAH,7,27,14,6,EV,DFW,3,29,0
LAX,7,31,19,3,WN,HOU,13,30,0
LAX,7,17,10,3,AA,HNL,9,30,0
CLT,7,2,14,2,US,FLL,20,30,0
LAX,7,21,7,7,OO,PHX,0,29,0
HOU,7,21,8,7,WN,DAL,6,29,0
IAD,7,2,22,2,EV,BUF,10,30,0
